9703316,21526.6574821118,2425830,5381.66658901259
5877876,13041.0416110139,1469470,3260.26262141913
5052636,11210.1125087219,1263160,2802.53034584662
5219716,11580.4425471208,1304930,2895.1128553765
6017236,13350.2370782435,1504310,3337.56148822689
6164076,13676.028908403,1541020,3419.00944576725
5238676,11622.8757605977,1309670,2905.72115881607
5342436,11853.0802455453,1335610,2963.27228005215
10338396,22937.4385910581,2584600,5734.36186642966
5349636,11869.0539983599,1337410,2967.26571825568
5965996,13236.3239466087,1491500,3309.08320527986
5423956,12033.7333355526,1355990,3008.43555251479
4767676,10577.5411035079,1191920,2644.38749447176
5138716,11401.0683506233,1284680,2850.26930631673
5577556,12374.7235176418,1394390,3093.68309807458
5523916,12255.4790507846,1380980,3063.87198131771
4489596,9960.89597658221,1122400,2490.22621280754
